"TimeofDay","HighCorrPositive","HighCorrNegative","Enthusiastic","Relaxed","Sad","Nervous","Stressed","MWoccur","EmotionChronometry"
0,0.514599480199541,0.461334026052842,0.317829248374211,0.233997134939584,-0.0810160400093999,0.110637031222059,0.133326505421447,0.083490228191837,0.743433804061909
1.414213562,0.527341878674887,0.460782789295852,0.323916286667241,0.247371481638809,-0.0835058574915728,0.0985664019826269,0.134372656316036,0.096899835504285,0.693096796891406
2,0.540084277150233,0.460231552538861,0.330003324960271,0.260745828338033,-0.0859956749737458,0.086495772743195,0.135418807210624,0.110309442816733,0.642759789720903
2.449489743,0.552826675625579,0.459680315781871,0.336090363253301,0.274120175037257,-0.0884854924559187,0.0744251435037631,0.136464958105213,0.123719050129181,0.5924227825504
2.828427125,1.02639981644463,1.47873868568461,0.637763360457227,0.287494521736481,0.208615254680002,0.0623545142643312,0.732957625649129,1.25058062733455,0.542085775379897
3.16227766,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.117480730232571,-0.561031764391841,0.0526784809284646,0.300868868435705,-0.393055692038359,0.0502838850248993,-0.456889256754938,-0.962913705138849,0.491748768209394
1.414213562,-0.176997366187882,-0.561583001148831,-0.532406398600297,-0.27759686662066,0.203635619715656,0.0382132557854674,0.139603410788978,1.27739984195945,0.441411761038891
2,-0.164254967712536,-0.154290395241929,0.0648525575145245,0.327617561834153,0.201145802233483,0.695079421161159,0.736096078332895,-0.936094490513953,0.141588488201769
2.449489743,1.07736941034601,-0.562685474662812,0.0709395958075544,0.932831990288967,0.19865598475131,0.0140719973066036,-0.453750804071173,1.30421905658435,-0.0238960261994818
2.828427125,0.270857155765888,-0.29134081631054,0.0770266341005843,0.551646282484463,0.395893210347865,0.224980299605544,0.142741863472743,0.575327350634845,0.149664897356469
3.16227766,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.283599554241234,-0.155944105512901,0.0831136723936142,0.367740601931826,0.193676349786964,-0.0100692611722603,-0.0546941578491087,0.588736957947293,0.0609453877757167
1.414213562,-0.113285373811152,-0.156495342269891,0.089200710686644,0.38111494863105,0.790367661540979,-0.0221398904116922,0.14483416526192,1.34444787852169,0.381639237237621
2,-0.100542975335806,0.250797263637011,0.0952877489796741,-0.197350786425315,-0.410484414413569,-0.0342105196511241,0.145880316156509,-0.869046453951713,-0.225244054881494
2.449489743,-0.0878005768604604,-0.565441658447764,0.101374787272704,-0.183976439726091,-0.412974231895742,-0.715217943505679,-0.448520049598231,1.37126709314659,0.0890527108453694
2.828427125,-0.689499168176714,3.51244553143417,-0.483710092256058,-0.762442174782456,1.98126046756684,1.94845860571538,1.93431216789367,-0.842227239326817,-0.3259180692225
3.16227766,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,-0.369536274805568,0.24914355336604,0.113548863858764,-0.157227746327643,0.1812272623761,-0.0704224073694198,-0.446427747809054,-0.828817632014369,-0.376255076393003
1.414213562,-0.356793876330222,0.656436159272942,-0.32374303621455,-0.439773440506213,0.0289421625848799,0.25197536069871,0.00120329057253074,-0.815408024701921,0.235506083013291
2,0.270389511936724,-0.975490448139618,-0.465448977376968,-0.130479052929194,-1.02211463106062,-0.0945636658482836,-0.444335446019877,-0.801998417389473,1.03917975447083
2.449489743,-0.63852957427533,-0.160353999568824,-0.459361939083938,-0.70894478798556,-1.02460444854279,-0.775571089702839,-1.03873581177462,-0.788588810077025,0.605017723197837
2.828427125,-0.0113461860083843,-0.976592921653599,0.137897017030883,-0.103730359530746,-0.42791313678878,-0.787641718942271,0.153203372418628,-0.775179202764577,-0.500838100254517
3.16227766,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,-0.459434529876738,-0.773222237078643,-0.299394883042431,-0.386276053709317,-0.729993518889047,-0.799712348181702,-0.590058622498443,-0.761769595452129,0.192485876773556
1.414213562,-0.600302378849292,-0.97769539516758,-0.441100824204849,-0.076981666132298,-0.432892771753126,-0.811782977421134,-0.440150842441523,-0.748359988139681,-0.313643346518655
2,-0.587559980373946,-0.97824663192457,-0.435013785911819,-0.655447401188663,-1.03456371847149,-0.823853606660566,-1.03455120819626,-0.734950380827233,0.979407230669561
2.449489743,-0.5748175818986,-0.570954026017668,0.162245170203003,-0.0502329727338495,-0.437872406717472,-0.835924235899998,-0.438058540652346,-0.721540773514785,3.04010785606276
2.828427125,0.359586301264146,-0.163661420110766,0.168332208496033,-0.0368586260346255,0.158818905036543,-0.179058070524307,-1.03245890640709,-0.708131166202337,0.302995680174818
3.16227766,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.372328699739492,-0.572056499531649,0.174419246789063,-0.0234842793354013,0.15632908755437,-0.191128699763739,-0.435966238863169,1.53218238089596,-0.323078863149422
1.414213562,-0.536590386472562,1.05876763436693,-0.410665632739699,-0.0101099326361771,0.153839270072197,-0.203199329003171,0.755972945330075,1.54559198820841,-0.81481464803779
2,-0.523847987997216,0.242528712282155,-0.404578594446669,-0.588575667692542,-0.447831676646163,0.45366683637252,0.757019096224664,-0.667902344264993,-0.865151655208293
2.449489743,-0.20388509462607,-0.57371020980262,-0.398491556153639,0.0166387607622711,1.34722189358023,-0.227340587482035,0.758065247119252,-0.654492736952545,0.101647651492806
2.828427125,-0.191142696150724,0.241426238768174,-0.392404517860609,-0.561826974294094,0.146369817625678,0.429525577893657,0.759111398013841,1.58582081014575,-1.08097317678005
3.16227766,NA,NA,NA,NA,NA,NA,NA,NA,NA
